领取方式,发放时间,发放金额,领取数量,领取规则,url,城市,省份
APP领取,5月31日0时起,超亿元,,同一账号，同一手机号在同一批次发券周期中仅限领取一张消费券。,http://bj.bendibao.com/,北京,直辖市
苏宁平台、线下门店,2020年4月15日-6月30日,3亿,,广大市民从4月15日起，就可以线上线下抢券，每人限领1次，抢券截止日期为6月底。,http://sh.bendibao.com/,上海,直辖市
云闪付APP,10月1日起,1000万元，每人享受一次满100立减40,,"无需领取，下载云闪付APP, 完成实名注册并绑定银行卡，在指定的11家超市结账时打开云闪付APP，在首页点击付款码或扫一扫进行支付即可。活动期间，每个实名注册账号享受一次优惠。",http://tj.bendibao.com/,天津,直辖市
支付宝,9月30日前，每周五-周日每天上午10:00,共4亿元，满20元立减5元；满35元立减6元；满50元立减7元,,商品消费券：满20元立减5元；满35元立减6元；满50元立减7元。,http://cq.bendibao.com/,重庆,直辖市
微信小程序,2021年4月22日-5月5日,1000万元,,4月22日，罗湖区政府联合腾讯乘车码举行新闻发布会，正式宣布开启“绿色出行‘码’上有礼”活动。即日起，深圳市民乘公交、地铁出行，使用微信“乘车码”小程序刷码乘车，即可获取绿色出行分，并兑换价值千万的消费券，到活动指定的直营门店使用。,http://sz.bendibao.com/,深圳,广东
”京喜“小程序、”京东“APP,第一批已于11月3日上午10时发放，第二批于11月9日上午10时发放,满200元享9折优惠,20亿,广州消费者通过京东APP、京喜APP、京喜小程序可领取广州消费券。仅面向广州消费者领取使用，人在广州可以领，购物或收货地址在广州可以用。同一账号，同一手机号在同批次发券周期中仅限领取一次消费券。消费者每笔交易只能使用一张消费券，仅限本人使用。如申领消费券后当期截止时间内未使用，消费券自动失效。,http://gz.bendibao.com/,广州,广东
小程序领取/APP领取,4月23日起,未定,未定,在活动时间内，通过活动制定领取路径即可领取消费券。微信小程序，支付宝APP，云闪付APP均有发券。,http://dg.bendibao.com/,东莞,广东
小程序领取,已结束,总金额1.5亿元,发券100万张,通过“顺德惠企”小程序领取，在小程序首页点击【企业助力券】；进入后，选择商家助力券，点击领取；通过点击顶部的【商品分类】，可以选择商品类型，筛选助力券。,http://fs.bendibao.com/,佛山,广东
中山书展云平台领取,8月20日-23日每天早上9:00,总值超100万元,超30000张,抢券期间，每个微信号每天都有三次抢券机会，随机获得一张购书券（购书券面额为30元、50元）。当天3次抢券均不成功时，可进行答题抢券，答对即可获得20元购书券。,http://zs.bendibao.com/,中山,广东
最珠海APP,2月11日9:00至2月17日23:59,1.56亿元,不限量,春节期间在珠的非珠海户籍务工人员(以下简称务工人员)，务工人员数据以2020年12月或2021年1月参加了本市城镇职工基本养老保险的人员为准(含港澳台人员，不含机关事业单位人员和外籍人员)，每人发放春节“暖心券”200元，由1张100元和2张50元电子券组合而成。,http://zh.bendibao.com/,珠海,广东
网上领取,2月6日起,30元优惠券,,不限户籍、人人可领。每人最多两张。,http://huizhou.bendibao.com/,惠州,广东
